ぜんこくずかんナンバー,おなまえ,インデックス1,インデックス2,インデックス3,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,合計,種族値列,初登場作品,出身地,初登場世代,分類,進化段階,属性1,属性2,属性3,英語名,中国語繁体,英語名由来
445,ガブリアス,ガブ,,,ドラゴン,じめん,すながくれ,,さめはだ,108,130,95,80,85,102,600,108 130 95 80 85 102 合計600,DP,シンオウ,4,マッハポケモン,最終進化,大器晩成,,,Garchomp,烈咬陸鯊,がぶり + chomp(音を立てて食べる、大口で食べる)
445.1,メガガブリアス,メガガブ,,,ドラゴン,じめん,すなのちから,,,108,170,115,120,95,92,700,108 170 115 120 95 92 合計700,XY,カロス,6,マッハポケモン,最終進化,大器晩成,メガシンカ,,,,
445.2,メガガブリアスZ,,,,ドラゴン,,,,,108,130,85,141,85,151,700,108 130 85 141 151 合計700,M次元ラッシュ,カロス,9,マッハポケモン,最終進化,大器晩成,メガシンカ,,,,
446,ゴンベ,,,,ノーマル,,ものひろい,あついしぼう,くいしんぼう,135,85,40,40,85,5,390,135 85 40 40 85 5 合計390,DP,シンオウ,4,おおぐいポケモン,進化前,ベイビィポケモン,,,Munchlax,小卡比獸,munch(むしゃむしゃ食べる) + relax(リラックスする)
447,リオル,,,,かくとう,,ふくつのこころ,せいしんりょく,いたずらごころ,40,70,40,35,40,60,285,40 70 40 35 40 60 合計285,DP,シンオウ,4,はもんポケモン,進化前,ベイビィポケモン,,,Riolu,利歐路,ripple(波紋) + ole(接尾辞:小さい)
448,ルカリオ,,,,かくとう,はがね,ふくつのこころ,せいしんりょく,せいぎのこころ,70,110,70,115,70,90,525,70 110 70 115 70 90 合計525,DP,シンオウ,4,はどうポケモン,最終進化,,,,Lucario,路卡利歐,lycaon(リカオン:イヌ科の動物) + oracle(神託、神命)
448.1,メガルカリオ,メガルカ,,,かくとう,はがね,てきおうりょく,,,70,145,88,140,70,112,625,70 145 88 140 70 112 合計625,XY,カロス,6,はどうポケモン,最終進化,,メガシンカ,,,,
448.2,メガルカリオZ,メガルカZ,,,かくとう,はがね,,,,70,100,70,164,70,151,625,70 100 70 164 70 151 合計625,M次元ラッシュ,カロス,9,はどうポケモン,最終進化,,メガシンカ,,,,
449,ヒポポタス,,,,じめん,,すなおこし,,すなのちから,68,72,78,38,42,32,330,68 72 78 38 42 32 合計330,DP,シンオウ,4,カバポケモン,進化前,,,,Hippopotas,沙河馬,hippopotamus(カバ)
450,カバルドン,カバ,,,じめん,,すなおこし,,すなのちから,108,112,118,68,72,47,525,108 112 118 68 72 47 合計525,DP,シンオウ,4,じゅうりょうポケモン,最終進化,,,,Hippowdon,河馬獸,hippopotamus(カバ) + power(力) + don(ボス)
451,スコルピ,,,,どく,むし,カブトアーマー,スナイパー,するどいめ,40,50,90,30,55,65,330,40 50 90 30 55 65 合計330,DP,シンオウ,4,さそりポケモン,進化前,,,,Skorupi,鉗尾蠍,scorpion(サソリ)
452,ドラピオン,,,,どく,あく,カブトアーマー,スナイパー,するどいめ,70,90,110,60,75,95,500,70 90 110 60 75 95 合計500,DP,シンオウ,4,ばけさそりポケモン,最終進化,,,,Drapion,龍王蠍,dracula(ドラキュラ) + scorpion(サソリ)
453,グレッグル,,,,どく,かくとう,きけんよち,かんそうはだ,どくしゅ,48,61,40,61,40,50,300,48 61 40 61 40 50 合計300,DP,シンオウ,4,どくづきポケモン,進化前,,,,Croagunk,不良蛙,croak(<カエル・カラスなどの>ガーガー鳴く声) + gunk(べとべとして気持ち悪いもの)
454,ドクロッグ,,,,どく,かくとう,きけんよち,かんそうはだ,どくしゅ,83,106,65,86,65,85,490,83 106 65 86 65 85 合計490,DP,シンオウ,4,どくづきポケモン,最終進化,,,,Toxicroak,毒骷蛙,toxic(有毒な、中毒の) + croak(蛙の擬声語)
455,マスキッパ,,,,くさ,,ふゆう,,,74,100,72,90,72,46,454,74 100 72 90 72 46 合計454,DP,シンオウ,4,むしとりポケモン,進化しない,,,,Carnivine,尖牙籠,carnivore(肉食動物、食虫動物) + vine(つる植物)
456,ケイコウオ,,,,みず,,すいすい,よびみず,みずのベール,49,49,56,49,61,66,330,49 49 56 49 61 66 合計330,DP,シンオウ,4,はねうおポケモン,進化前,,,,Finneon,螢光魚,fin(ヒレ、水かき) + neon(ネオン)
457,ネオラント,,,,みず,,すいすい,よびみず,みずのベール,69,69,76,69,86,91,460,69 69 76 69 86 91 合計460,DP,シンオウ,4,ネオンポケモン,最終進化,,,,Lumineon,霓虹魚,luminous(光る、輝く) + neon(ネオン)
458,タマンタ,,,,みず,ひこう,すいすい,ちょすい,みずのベール,45,20,50,60,120,50,345,45 20 50 60 120 50 合計345,DP,シンオウ,4,カイトポケモン,進化前,,,,Mantyke,小球飛魚,manta(マンタ) + tyke(子供、雑犬)
459,ユキカブリ,,,,くさ,こおり,ゆきふらし,,ぼうおん,60,62,50,62,60,40,334,60 62 50 62 60 40 合計334,DP,シンオウ,4,じゅひょうポケモン,進化前,,,,Snover,雪笠怪,snow(雪) + cover(被せる、覆う)
460,ユキノオー,ノオー,,,くさ,こおり,ゆきふらし,,ぼうおん,90,92,75,92,85,60,494,90 92 75 92 85 60 合計494,DP,シンオウ,4,じゅひょうポケモン,最終進化,,,,Abomasnow,暴雪王,abominable snowman(雪男、イエティ) → abominable(忌々しい) + snowman(雪だるま)『忌々しい雪だるま』＝『雪男』
460.1,メガユキノオー,,,,くさ,こおり,ゆきふらし,,,90,132,105,132,105,30,594,90 132 105 132 105 30 合計594,XY,カロス,6,じゅひょうポケモン,最終進化,,メガシンカ,,,,
461,マニューラ,マニュ,,,あく,こおり,プレッシャー,,わるいてぐせ,70,120,65,45,85,125,510,70 120 65 45 85 125 合計510,DP,シンオウ,4,かぎづめポケモン,最終進化,通信進化,追加進化,,Weavile,瑪狃拉,weasel(イタチ、ずるい人) + vile(下劣な、不道徳な)
462,ジバコイル,ジバコ,,,でんき,はがね,じりょく,がんじょう,アナライズ,70,70,115,130,90,60,535,70 70 115 130 90 60 合計535,DP,シンオウ,4,じばポケモン,最終進化,追加進化,,,Magnezone,自爆磁怪,magnet(磁石) + zone(地帯)
463,ベロベルト,,,,ノーマル,,マイペース,どんかん,ノーてんき,110,85,95,80,95,50,515,110 85 95 80 95 50 合計515,DP,シンオウ,4,なめまわしポケモン,最終進化,追加進化,,,Lickilicky,大舌舔,lick(舐める) + licky(舐めやすい)
464,ドサイドン,ドサイ,,,じめん,いわ,ひらいしん,ハードロック,すてみ,115,140,130,55,55,40,535,115 140 130 55 55 40 合計535,DP,シンオウ,4,ドリルポケモン,最終進化,通信進化,追加進化,,Rhyperior,超甲狂犀,rhino(サイ) + superior(上位の、上級の)
465,モジャンボ,,,,くさ,,ようりょくそ,リーフガード,さいせいりょく,100,100,125,110,50,50,535,100 100 125 110 50 50 合計535,DP,シンオウ,4,ツルじょうポケモン,最終進化,追加進化,,,Tangrowth,巨蔓藤,tangle(絡まる) + growth(成長)
466,エレキブル,キブル,,,でんき,,でんきエンジン,,やるき,75,123,67,95,85,95,540,75 123 67 95 85 95 合計540,DP,シンオウ,4,らいでんポケモン,最終進化,通信進化,追加進化,,Electivire,電擊魔獸,electric(電気の) wire(ワイヤー)
467,ブーバーン,,,,ほのお,,ほのおのからだ,,やるき,75,95,67,125,95,83,540,75 95 67 125 95 83 合計540,DP,シンオウ,4,ばくえんポケモン,最終進化,通信進化,追加進化,,Magmortar,鴨嘴炎獸,magma(マグマ) + mortar(迫撃砲、モルタル)
468,トゲキッス,キッス,,,フェアリー,ひこう,はりきり,てんのめぐみ,きょううん,85,50,95,120,115,80,545,85 50 95 120 115 80 合計545,DP,シンオウ,4,しゅくふくポケモン,最終進化,追加進化,,,Togekiss,波克基斯,トゲ + kiss(キス)
469,メガヤンマ,,,,むし,ひこう,かそく,いろめがね,おみとおし,86,76,86,116,56,95,515,86 76 86 116 56 95 合計515,DP,シンオウ,4,オニトンボポケモン,最終進化,追加進化,,,Yanmega,遠古巨蜓,yanma(ヤンマ) + Meganeura(メガネウラ)
470,リーフィア,,,,くさ,,リーフガード,,ようりょくそ,65,110,130,60,65,95,525,65 110 130 60 65 95 合計525,DP,シンオウ,4,しんりょくポケモン,最終進化,イーブイフレンズ,追加進化,,Leafeon,葉伊布,leaf(葉っぱ) + eon(無限に長い期間、永遠)
471,グレイシア,,,,こおり,,ゆきがくれ,,アイスボディ,65,60,110,130,95,65,525,65 60 110 130 95 65 合計525,DP,シンオウ,4,しんせつポケモン,最終進化,イーブイフレンズ,追加進化,,Glaceon,冰伊布,glacier(氷河) + eon(無限に長い期間、永遠)
472,グライオン,グライ,,,じめん,ひこう,かいりきバサミ,すながくれ,ポイズンヒール,75,95,125,45,75,95,510,75 95 125 45 75 95 合計510,DP,シンオウ,4,キバさそりポケモン,最終進化,通信進化,追加進化,,Gliscor,天蠍王,glide(滑空する) + scorpion(サソリ)
473,マンムー,,,,こおり,じめん,どんかん,ゆきがくれ,あついしぼう,110,130,80,70,60,80,530,110 130 80 70 60 80 合計530,DP,シンオウ,4,2ほんキバポケモン,最終進化,追加進化,,,Mamoswine,象牙豬,mammoth(マンモス) + swine(豚)
474,ポリゴンZ,ポリゴンゼット,ポリZ,,ノーマル,,てきおうりょく,ダウンロード,アナライズ,85,80,70,135,75,90,535,85 80 70 135 75 90 合計535,DP,シンオウ,4,バーチャルポケモン,最終進化,通信進化,追加進化,,Porygon-Z,多邊獸Ｚ,polygon(多角形) + Z(座標軸の三番目)
475,エルレイド,,,,エスパー,かくとう,ふくつのこころ,きれあじ,せいぎのこころ,68,125,65,65,115,80,518,68 125 65 65 115 80 合計518,DP,シンオウ,4,やいばポケモン,最終進化,追加進化,,,Gallade,艾路雷朵,gallant(勇敢な、雄々しい) + blade(刃、刀身)
475.1,メガエルレイド,,,,エスパー,かくとう,せいしんりょく,,,68,165,95,65,115,110,618,68 165 95 65 115 110 合計618,ORAS,ホウエン,6,やいばポケモン,最終進化,追加進化,メガシンカ,,,,
476,ダイノーズ,,,,いわ,はがね,がんじょう,じりょく,すなのちから,60,55,145,75,150,40,525,60 55 145 75 150 40 合計525,DP,シンオウ,4,コンパスポケモン,最終進化,追加進化,,,Probopass,大朝北鼻,proboscis(≪ゾウなどの長くて動く≫鼻) + compass(コンパス、磁石、羅針盤)
477,ヨノワール,,,,ゴースト,,プレッシャー,,おみとおし,45,100,135,65,135,45,525,45 100 135 65 135 45 合計525,DP,シンオウ,4,てづかみポケモン,最終進化,通信進化,追加進化,,Dusknoir,黑夜魔靈,dusk(≪黄昏の≫薄暗がり、夕闇) + noir(フランス語: 黒)
478,ユキメノコ,メノコ,,,こおり,ゴースト,ゆきがくれ,,のろわれボディ,70,80,70,80,70,110,480,70 80 70 80 70 110 合計480,DP,シンオウ,4,ゆきぐにポケモン,最終進化,追加進化,,,Froslass,雪妖女,frost(霜、霜柱) + lass(若い女)
478.1,メガユキメノコ,,,,こおり,ゴースト,,,,70,80,70,140,100,120,580,70 80 70 140 100 120 合計580,ZA,カロス,9,ゆきぐにポケモン,最終進化,メガシンカ,,,,,
479,ロトム,,,,でんき,ゴースト,ふゆう,,,50,50,77,95,77,91,440,50 50 77 95 77 91 合計440,DP,シンオウ,4,プラズマポケモン,進化しない,,,,Rotom,洛托姆,motor(モーター、電動機)を逆さにした形
479.1,ロトム(ヒートロトム),ヒートロトム,炎ロトム,ヒトム,でんき,ほのお,ふゆう,,,50,65,107,105,107,86,520,50 65 107 105 107 86 合計520,Pt,シンオウ,4,プラズマポケモン,進化しない,,,,,,
479.2,ロトム(ウォッシュロトム),ウォッシュロトム,水ロトム,ミトム,でんき,みず,ふゆう,,,50,65,107,105,107,86,520,50 65 107 105 107 86 合計520,Pt,シンオウ,4,プラズマポケモン,進化しない,,,,,,
479.3,ロトム(フロストロトム),フロストロトム,氷ロトム,フロストム,でんき,こおり,ふゆう,,,50,65,107,105,107,86,520,50 65 107 105 107 86 合計520,Pt,シンオウ,4,プラズマポケモン,進化しない,,,,,,
479.4,ロトム(スピンロトム),スピンロトム,飛ロトム,扇風機,でんき,ひこう,ふゆう,,,50,65,107,105,107,86,520,50 65 107 105 107 86 合計520,Pt,シンオウ,4,プラズマポケモン,進化しない,,,,,,
479.5,ロトム(カットロトム),カットロトム,草ロトム,カットム,でんき,くさ,ふゆう,,,50,65,107,105,107,86,520,50 65 107 105 107 86 合計520,Pt,シンオウ,4,プラズマポケモン,進化しない,,,,,,
480,ユクシー,,,,エスパー,,ふゆう,,,75,75,130,75,130,95,580,75 75 130 75 130 95 合計580,DP,シンオウ,4,ちしきポケモン,進化しない,準伝説,,,Uxie,由克希,UMA(未確認生物) + pixie(妖精)
481,エムリット,,,,エスパー,,ふゆう,,,80,105,105,105,105,80,580,80 105 105 105 105 80 合計580,DP,シンオウ,4,かんじょうポケモン,進化しない,準伝説,,,Mesprit,艾姆利多,UMA(未確認生物) + sprite(妖精、小妖精)
482,アグノム,,,,エスパー,,ふゆう,,,75,125,70,125,70,115,580,75 125 70 125 70 115 合計580,DP,シンオウ,4,いしポケモン,進化しない,準伝説,,,Azelf,亞克諾姆,UMA(未確認生物) + elf(小妖精)
483,ディアルガ,,,,はがね,ドラゴン,プレッシャー,,テレパシー,100,120,120,150,100,90,680,100 120 120 150 100 90 合計680,DP,シンオウ,4,じかんポケモン,進化しない,禁止級伝説,,,Dialga,帝牙盧卡,diamond(ダイアモンド) + dragon(龍、ドラゴン)
483.1,ディアルガ(オリジンフォルム),ディアルガオリジンフォルム,オリジンディアルガ,FCディアルガ,はがね,ドラゴン,プレッシャー,,テレパシー,100,100,120,150,120,90,680,100 100 120 150 120 90 合計680,LA,ヒスイ,8,じかんポケモン,進化しない,禁止級伝説,,,,,
484,パルキア,,,,みず,ドラゴン,プレッシャー,,テレパシー,90,120,100,150,120,100,680,90 120 100 150 120 100 合計680,DP,シンオウ,4,くうかんポケモン,進化しない,禁止級伝説,,,Palkia,帕路奇亞,pearl(パール) + ディアルキア(二頭政)
484.1,パルキア(オリジンフォルム),パルキアオリジンフォルム,オリジンパルキア,FCパルキア,みず,ドラゴン,プレッシャー,,テレパシー,90,100,100,150,120,120,680,90 100 100 150 120 120 合計680,LA,ヒスイ,8,くうかんポケモン,進化しない,禁止級伝説,,,,,
485,ヒードラン,ドラン,ゴキブロス,,ほのお,はがね,もらいび,,ほのおのからだ,91,90,106,130,106,77,600,91 90 106 130 106 77 合計600,DP,シンオウ,4,かこうポケモン,進化しない,準伝説,,,Heatran,席多藍恩,heat(熱、温める) + transfer(移す、動かす)
485.1,メガヒードラン,,,,ほのお,はがね,,,,91,120,106,175,141,67,700,91 120 106 175 141 67 合計700,M次元ラッシュ,カロス,9,かこうポケモン,進化しない,準伝説,メガシンカ,,,,
486,レジギガス,ギガス,,,ノーマル,,スロースタート,,,110,160,110,80,110,100,670,110 160 110 80 110 100 合計670,DP,シンオウ,4,きょだいポケモン,進化しない,準伝説,,,Regigigas,雷吉奇卡斯,regis(ラテン語：王族) + gigas(ギリシャ神話：巨人族)
487,ギラティナ(アナザーフォルム),ギラティナ,アナザーギラティナ,アナザーフォルム,ゴースト,ドラゴン,プレッシャー,,テレパシー,150,100,120,100,120,90,680,150 100 120 100 120 90 合計680,DP,シンオウ,4,はんこつポケモン,進化しない,禁止級伝説,,,Giratina,騎拉帝納,girasol(ジラソル) + platinum(プラチナ)
487.1,ギラティナ(オリジンフォルム),オリジンギラティナ,FCギラティナ,,ゴースト,ドラゴン,ふゆう,,,150,120,100,120,100,90,680,150 120 100 120 100 90 合計680,Pt,シンオウ,4,はんこつポケモン,進化しない,禁止級伝説,,,,,
488,クレセリア,クレセ,,,エスパー,,ふゆう,,,120,70,110,75,120,85,580,120 70 110 75 120 85 合計580,DP,シンオウ,4,みかづきポケモン,進化しない,準伝説,,,Cresselia,克雷色利亞,crescent(三日月) + Selene(ギリシャ神話：月の女神)
489,フィオネ,,,,みず,,うるおいボディ,,,80,80,80,80,80,80,480,80 80 80 80 80 80 合計480,DP,シンオウ,4,かいようポケモン,進化しない,幻のポケモン,,,Phione,霏歐納,fairy(妖精) + clione(クリオネ)
490,マナフィ,,,,みず,,うるおいボディ,,,100,100,100,100,100,100,600,100 100 100 100 100 100 合計600,DP,シンオウ,4,かいゆうポケモン,進化しない,幻のポケモン,,,Manaphy,瑪納霏,mana(超自然的な力) + fairy(妖精)
491,ダークライ,,,,あく,,ナイトメア,,,70,90,90,135,90,125,600,70 90 90 135 90 125 合計600,DP,シンオウ,4,あんこくポケモン,進化しない,幻のポケモン,,,Darkrai,達克萊伊,dark(暗黒、暗い) + 暗い
491.1,メガダークライ,,,,あく,,,,,70,120,130,165,130,85,700,70 120 130 165 135 85 合計700,M次元ラッシュ,カロス,9,あんこくポケモン,進化しない,幻のポケモン,メガシンカ,,,,
492,シェイミ(ランドフォルム),シェイミ,シェイミランドフォルム,ランドフォルム,くさ,,しぜんかいふく,,,100,100,100,100,100,100,600,100 100 100 100 100 100 合計600,DP,シンオウ,4,かんしゃポケモン,進化しない,幻のポケモン,,,Shaymin,謝米,謝(中国語：感謝) + ハリネズミ
492.1,シェイミ(スカイフォルム),シェイミスカイフォルム,スカイフォルム,,くさ,ひこう,てんのめぐみ,,,100,103,75,120,75,127,600,100 103 75 120 75 127 合計600,Pt,シンオウ,4,かんしゃポケモン,進化しない,幻のポケモン,,,,,
493,アルセウス,アルセ,,,ノーマル,,マルチタイプ,,,120,120,120,120,120,120,720,120 120 120 120 120 120 合計720,Pt,シンオウ,4,そうぞうポケモン,進化しない,幻のポケモン,,,Arceus,阿爾宙斯,archaic(古風な、古い) + zeus(絶対神ゼウス)
494,ビクティニ,,,,エスパー,ほのお,しょうりのほし,,,100,100,100,100,100,100,600,100 100 100 100 100 100 合計600,BW,イッシュ,5,しょうりポケモン,進化しない,幻のポケモン,,,Victini,比克提尼,victory(勝利) + tiny(とても小さい)
495,ツタージャ,,,,くさ,,しんりょく,,あまのじゃく,45,45,55,45,55,63,308,45 45 55 45 55 63 合計308,BW,イッシュ,5,くさへびポケモン,進化前,パートナーポケモン,,,Snivy,藤藤蛇,snake(蛇) + ivy(ツタ)
496,ジャノビー,,,,くさ,,しんりょく,,あまのじゃく,60,60,75,60,75,83,413,60 60 75 60 75 83 合計413,BW,イッシュ,5,くさへびポケモン,中間進化,パートナーポケモン,,,Servine,青藤蛇,serpent(ヘビ) + vine(つる植物)
497,ジャローダ,ジャローダ,ジャロ,,くさ,,しんりょく,,あまのじゃく,75,75,95,75,95,113,528,75 75 95 75 95 113 合計528,BW,イッシュ,5,ロイヤルポケモン,最終進化,パートナーポケモン,,,Serperior,君主蛇,serpent(ヘビ) + superior(上位の、優れた)
498,ポカブ,,,,ほのお,,もうか,,あついしぼう,65,63,45,45,45,45,308,65 63 45 45 45 45 合計308,BW,イッシュ,5,ひぶたポケモン,進化前,パートナーポケモン,,,Tepig,暖暖豬,tepid(なまぬるい、冷めた) + pig(豚)
499,チャオブー,,,,ほのお,かくとう,もうか,,あついしぼう,90,93,55,70,55,55,418,90 93 55 70 55 55 合計418,BW,イッシュ,5,ひぶたポケモン,中間進化,パートナーポケモン,,,Pignite,炒炒豬,pig(豚) + ignite(火をつける、発火させる)
500,エンブオー,,,,ほのお,かくとう,もうか,,すてみ,110,123,65,100,65,65,528,110 123 65 100 65 65 合計528,BW,イッシュ,5,おおひぶたポケモン,最終進化,パートナーポケモン,,,Emboar,炎武王,ember(残り火、燃えさし) + boar(イノシシ)
500.1,メガエンブオー,,,,ほのお,かくとう,,,,110,148,75,110,110,75,628,110 148 75 110 110 75 合計628,ZA,カロス,9,おおひぶたポケモン,最終進化,パートナーポケモン,メガシンカ,,,,
501,ミジュマル,,,,みず,,げきりゅう,,シェルアーマー,55,55,45,63,45,45,308,55 55 45 63 45 45 合計308,BW,イッシュ,5,ラッコポケモン,進化前,パートナーポケモン,,,Oshawott,水水獺,ocean(海洋、海) + sea otter(ラッコ)
502,フタチマル,,,,みず,,げきりゅう,,シェルアーマー,75,75,60,83,60,60,413,75 75 60 83 60 60 合計413,BW,イッシュ,5,しゅぎょうポケモン,中間進化,パートナーポケモン,,,Dewott,雙刃丸,dew(露、雫) + sea otter(ラッコ)
503,ダイケンキ,,,,みず,,げきりゅう,,シェルアーマー,95,100,85,108,70,70,528,95 100 85 108 70 70 合計528,BW,イッシュ,5,かんろくポケモン,最終進化,パートナーポケモン,,,Samurott,大劍鬼,samurai(侍) + sea otter(ラッコ)
503.1,ダイケンキ(ヒスイのすがた),ヒスイダイケンキ,,,みず,あく,げきりゅう,,きれあじ,90,108,80,100,65,85,528,90 108 80 100 65 85 合計528,LA,ヒスイ,8,かんろくポケモン,最終進化,パートナーポケモン,リージョンフォーム,,,,
504,ミネズミ,,,,ノーマル,,にげあし,するどいめ,アナライズ,45,55,39,35,39,42,255,45 55 39 35 39 42 合計255,BW,イッシュ,5,みはりポケモン,進化前,序盤ノーマル,,,Patrat,探探鼠,patrol(見張り、巡察) + rat(ネズミ)
505,ミルホッグ,,,,ノーマル,,はっこう,するどいめ,アナライズ,60,85,69,60,69,77,420,60 85 69 60 69 77 合計420,BW,イッシュ,5,けいかいポケモン,最終進化,序盤ノーマル,,,Watchog,步哨鼠,watch(監視する、見る) + groundhog(ウッドチャック、グラウンドホッグ)
506,ヨーテリー,,,,ノーマル,,やるき,ものひろい,にげあし,45,60,45,25,45,55,275,45 60 45 25 45 55 合計275,BW,イッシュ,5,こいぬポケモン,進化前,序盤ノーマル,,,Lillipup,小約克,Lilliput(ガリバー旅行記に登場する小人の国) + pup(子犬)
507,ハーデリア,,,,ノーマル,,いかく,すなかき,きもったま,65,80,65,35,65,60,370,65 80 65 35 65 60 合計370,BW,イッシュ,5,ちゅうけんポケモン,中間進化,序盤ノーマル,,,Herdier,哈約克,herd(群れ) + terrier(テリア)
508,ムーランド,,,,ノーマル,,いかく,すなかき,きもったま,85,110,90,45,90,80,500,85 110 90 45 90 80 合計500,BW,イッシュ,5,かんだいポケモン,最終進化,序盤ノーマル,,,Stoutland,長毛狗,stout(丈夫な、頑丈な) + land(土地、陸)
509,チョロネコ,,,,あく,,じゅうなん,かるわざ,いたずらごころ,41,50,37,50,37,66,281,41 50 37 50 37 66 合計281,BW,イッシュ,5,しょうわるポケモン,進化前,,,,Purrloin,扒手貓,purr(ゴロゴロのどを鳴らす) + purloin(黙って失敬する、盗む)
510,レパルダス,,,,あく,,じゅうなん,かるわざ,いたずらごころ,64,88,50,88,50,106,446,64 88 50 88 50 106 合計446,BW,イッシュ,5,れいこくポケモン,最終進化,,,,Liepard,酷豹,lie(噓、噓をつく) + leopard(豹、レオパルド)
511,ヤナップ,,,,くさ,,くいしんぼう,,しんりょく,50,53,48,53,48,64,316,50 53 48 53 48 64 合計316,BW,イッシュ,5,くさざるポケモン,進化前,,,,Pansage,花椰猴,chimpanzee(チンパンジー) + sage(≪植物≫セージ、賢人)
512,ヤナッキー,,,,くさ,,くいしんぼう,,しんりょく,75,98,63,98,63,101,498,75 98 63 98 63 101 合計498,BW,イッシュ,5,とげざるポケモン,最終進化,,,,Simisage,花椰猿,simian(類人猿、サル) + sage(≪植物≫セージ、賢人)
513,バオップ,,,,ほのお,,くいしんぼう,,もうか,50,53,48,53,48,64,316,50 53 48 53 48 64 合計316,BW,イッシュ,5,こうおんポケモン,進化前,,,,Pansear,爆香猴,chimpanzee(チンパンジー) + sear(焼く、焦がす)
514,バオッキー,,,,ほのお,,くいしんぼう,,もうか,75,98,63,98,63,101,498,75 98 63 98 63 101 合計498,BW,イッシュ,5,ひのこポケモン,最終進化,,,,Simisear,爆香猿,simian(類人猿、サル) + sear(焼く、焦がす)
515,ヒヤップ,,,,みず,,くいしんぼう,,げきりゅう,50,53,48,53,48,64,316,50 53 48 53 48 64 合計316,BW,イッシュ,5,みずかけポケモン,進化前,,,,Panpour,冷水猴,chimpanzee(チンパンジー) + pour(注ぐ、流す)
516,ヒヤッキー,,,,みず,,くいしんぼう,,げきりゅう,75,98,63,98,63,101,498,75 98 63 98 63 101 合計498,BW,イッシュ,5,ほうすいポケモン,最終進化,,,,Simipour,冷水猿,simian(類人猿、サル) + pour(注ぐ、流す)
517,ムンナ,,,,エスパー,,よちむ,シンクロ,テレパシー,76,25,45,67,55,24,292,76 25 45 67 55 24 合計292,BW,イッシュ,5,ゆめくいポケモン,進化前,,,,Munna,食夢夢,夢 + lunar(月の)
518,ムシャーナ,,,,エスパー,,よちむ,シンクロ,テレパシー,116,55,85,107,95,29,487,116 55 85 107 95 29 合計487,BW,イッシュ,5,ゆめうつつポケモン,最終進化,,,,Musharna,夢夢蝕,夢 + むしゃむしゃ + lunar(月の)
519,マメパト,,,,ノーマル,ひこう,はとむね,きょううん,とうそうしん,50,55,50,36,30,43,264,50 55 50 36 30 43 合計264,BW,イッシュ,5,こばとポケモン,進化前,序盤飛行,,,Pidove,豆豆鴿,pigeon(ハト) + dove(ハト)
520,ハトーボー,,,,ノーマル,ひこう,はとむね,きょううん,とうそうしん,62,77,62,50,42,65,358,62 77 62 50 42 65 合計358,BW,イッシュ,5,のばとポケモン,中間進化,序盤飛行,,,Tranquill,咕咕鴿,tranquil(静かな、穏やかな) + quill(羽ペン、羽軸)
521,ケンホロウ,,,,ノーマル,ひこう,はとむね,きょううん,とうそうしん,80,115,80,65,55,93,488,80 115 80 65 55 93 合計488,BW,イッシュ,5,プライドポケモン,最終進化,序盤飛行,,,Unfezant,高傲雉雞,unfazed(動じない、平然とした) + pheasant(キジ)
522,シママ,,,,でんき,,ひらいしん,でんきエンジン,そうしょく,45,60,32,50,32,76,295,45 60 32 50 32 76 合計295,BW,イッシュ,5,たいでんポケモン,進化前,序盤電気,,,Blitzle,斑斑馬,blitz(電撃、猛爆、急襲) + little(小さい)
523,ゼブライカ,,,,でんき,,ひらいしん,でんきエンジン,そうしょく,75,100,63,80,63,116,497,75 100 63 80 63 116 合計497,BW,イッシュ,5,らいでんポケモン,最終進化,序盤電気,,,Zebstrika,雷電斑馬,zebra(シマウマ) + strike(照りつける、打つ、殴る)
524,ダンゴロ,,,,いわ,,がんじょう,くだけるよろい,すなのちから,55,75,85,25,25,15,280,55 75 85 25 25 15 合計280,BW,イッシュ,5,マントルポケモン,進化前,,,,Roggenrola,石丸子,Rock and Roll(ロックンロール)
525,ガントル,,,,いわ,,がんじょう,くだけるよろい,すなのちから,70,105,105,50,40,20,390,70 105 105 50 40 20 合計390,BW,イッシュ,5,こうせきポケモン,中間進化,,,,Boldore,地幔岩,boulder(丸石、玉石) + ore(鉱石)
526,ギガイアス,,,,いわ,,がんじょう,すなおこし,すなのちから,85,135,130,60,80,25,515,85 135 130 60 80 25 合計515,BW,イッシュ,5,こうあつポケモン,最終進化,通信進化,,,Gigalith,龐岩怪,gigantic(巨大な、膨大な) + lith(石)
527,コロモリ,,,,エスパー,ひこう,てんねん,ぶきよう,たんじゅん,65,45,43,55,43,72,323,65 45 43 55 43 72 合計323,BW,イッシュ,5,こうもりポケモン,進化前,,,,Woobat,滾滾蝙蝠,woo(求婚する、言い寄る) + bat(コウモリ)
528,ココロモリ,,,,エスパー,ひこう,てんねん,ぶきよう,たんじゅん,67,57,55,77,55,114,425,67 57 55 77 55 114 合計425,BW,イッシュ,5,きゅうあいポケモン,最終進化,,,,Swoobat,心蝙蝠,swoon(恍惚となる、うっとりする) + bat(コウモリ)
529,モグリュー,,,,じめん,,すなかき,すなのちから,かたやぶり,60,85,40,30,45,68,328,60 85 40 30 45 68 合計328,BW,イッシュ,5,もぐらポケモン,進化前,,,,Drilbur,螺釘地鼠,drill(ドリル) + burrow(穴、隠れ場)
